SMILES	Hansch pi	Hammett sigma p
[R]CCCCNC(C)=O	03405	0.281	-0.082
[R]c1cccc(C(F)F)c1	03406	2.142	0.041
[R]C(=O)CBr	03407	1.193	0.584
[R]Oc1cc(Cl)ccc1Cl	03408	2.705	0.03
[R]Cc2nc(c1ccccc1)no2	03409	2.175	0.108
[R]c1cccc(C(F)(F)F)c1C	03410	3.327	0.072
[R]CC(O)CN1CCCCC1	03411	0.781	-0.137
[R]C(CC(C)C)C=O	03412	1.198	0.054
[R]NC(=O)c1ccccc1N(=O)=O	03413	0.955	-0.258
[R]c2cc1ccccc1cc2O	03414	2.695	-0.03
[R]NCCN1CCN(C)CC1	03415	-0.549	-0.626
[R]COc1ccc(F)cn1	03416	1.343	0.043
[R]c2ccc(c1cn[nH]c1)cc2	03417	1.524	-0.044
[R]NC(CC(O)=O)C(N)=O	03418	-1.735	-0.636
[R]C=c1sc(O)nc1=O	03419	1.192	0.532
[R]NC(=O)c1ccccc1OCC	03420	1.091	-0.36
[R]Oc1cccc(C)c1C	03421	2.603	-0.114
[R]C(=O)C(C)(C)O	03422	0.723	0.461
[R]C(=O)Nc1cnccn1	03423	-0.87	0.478
[R]Cc1ccc(Cl)nc1	03424	1.951	-0.011
[R]C(N)CCSC	03425	-0.189	-0.038
[R]c1cc(=O)n(C)c(=O)n1C	03426	-0.573	0.48
[R]c1c[nH]c2ccc(Br)cc12	03427	2.078	-0.155
[R]C(CO)NC(C)=O	03428	-1.136	0.019
[R]C(C)=NNC(N)=S	03429	0.792	0.391
[R]OP(O)(=O)OCC(N)C(O)=O	03430	-0.656	0.092
[R]C(=O)N1CCCCC1C	03431	0.755	0.345
[R]c1cccc(Cl)n1	03432	1.953	0.244
[R]C(=S)NC(=O)c1cccs1	03433	1.243	0.671
[R]NC(CC(C)C)C=O	03434	0.533	-0.604
[R]OCc1ccc(Cl)cc1Cl	03435	2.8	-0.179
[R]C=Cc1ccncc1	03436	1.198	0.083
[R]C(CC(C)C)C(=O)NCC#N	03437	0.87	-0.044
[R]C=Cc1ccc(C(F)(F)F)cc1	03438	3.393	0.103
[R]c1ccc(F)c(Br)c1	03439	2.909	0.097
[R]CCCP(O)(O)=O	03440	0.584	-0.107
[R]C1CC(C)(O)C1	03441	0.4	-0.107
[R]NN=Cc1ccc(OC)cc1	03442	1.717	-0.5
[R]c1cc(C(F)(F)F)ccc1OC	03443	2.608	0.003
[R]OCCCCc1ccccc1	03444	2.808	-0.266
[R]c1ccc(Cl)c(S(N)(=O)=O)c1	03445	1.348	0.132
[R]C(=O)Cc1ccccc1OC	03446	2.131	0.412
[R]C(=S)NC1CCCCC1	03447	1.692	0.632
[R]c2ccc(c1ccon1)cc2	03448	2.101	0.034
[R]C(=O)NC(CC(C)C)C=O	03449	0.236	0.364
[R]c2cccc(c1nnn[nH]1)c2	03450	1.608	0.1
[R]CN1CCCCCC1	03451	1.298	-0.08
[R]C(=O)NCCc1ccc(F)cc1	03452	1.541	0.39
[R]C1=NCCCCC1	03453	1.892	0.166
[R]NCC(C)NC(=O)OC	03454	-0.255	-0.552
[R]CNCCc1ccccc1	03455	1.847	-0.084
[R]OC(=O)N1CCOCC1	03456	-0.382	-0.109
[R]C=Cc1ccccn1	03457	1.597	0.046
[R]OC(=O)C(C)C	03458	0.929	-0.088
[R]OS(=O)(=O)C(F)(F)F	03459	1.401	0.461
[R]NC(CC(N)=O)C(N)=O	03460	-2.599	-0.696
[R]n2c(=S)[nH]c1ccccc1c2=O	03461	0.861	0.128
[R]C1CCCN(S(C)(=O)=O)C1	03462	0.414	-0.003
[R]NC(=O)c1cccc(C#N)c1	03463	1.037	-0.224
[R]CC(=O)N1CCCCCC1	03464	0.67	-0.141
[R]OCC(C)(C)C	03465	1.706	-0.28
[R]C(CC(N)=O)C(N)=O	03466	-2.08	-0.066
[R]C(=O)N(C)CCCC	03467	0.827	0.355
[R]NS(=O)(=O)c1cccnc1	03468	-0.291	-0.098
[R]c2nc(c1sc(C)nc1C)cs2	03469	1.833	0.22
[R]CC(CC)c1ccccc1	03470	3.497	-0.104
[R]c1onc(C)c1Cl	03471	0.935	0.312
[R]Cn1nc(C)cc1C	03472	0.35	0.079
[R]COCC(F)(F)F	03473	1.011	0.048
[R]Cc2cc1ccccc1o2	03474	1.625	0.005
[R]C(N)CS	03475	-0.376	0.026
[R]Nc2nc1CCCCc1s2	03476	1.516	-0.397
[R]C(=O)NC(CC(N)=O)C(N)=O	03477	-2.897	0.288
[R]C(C)Oc1ccccc1	03478	2.23	0.037
[R]c1c(C)cccc1F	03479	2.584	0.054
[R]Nc2ccc1nc(C)sc1c2	03480	1.868	-0.308
[R]CN1CCN(S(C)(=O)=O)CC1	03481	-0.35	-0.016
[R]NCCCn1cncc1C	03482	-0.921	-0.535
[R]C(C)(C)S	03483	0.836	0.018
[R]Nc1ncnc(N)c1C#N	03484	0.185	-0.229
[R]c1ncc(C#N)[nH]1	03485	-0.005	0.371
[R]N(CC)CCO	03486	-0.069	-0.669
[R]c2cc(c1ccccc1)[nH]n2	03487	2.153	0.065
[R]c1n[nH]c2cccnc12	03488	0.558	0.113
[R]C(=S)NCCc1ccccc1	03489	2.136	0.63
[R]c1ccc(O)cc1C	03490	2.16	-0.017
[R]c2cn1cccnc1n2	03491	0.224	0.141
[R]C(=O)OCc1ccc(OC)cc1	03492	1.547	0.491
[R]N(Cc1ccccc1)C(C)C	03493	2.564	-0.686
[R]C12CCN(CC1)CC2	03494	0.621	-0.107
[R]C(=O)C1CCNCC1	03495	0.554	0.459
[R]N1CC2CC1C2	03496	0.345	-0.655
[R]CC(C)(C)CO	03497	1.314	-0.12
[R]c1cccc2[nH]nc(N)c12	03498	0.987	0.089
[R]NS(=O)(=O)c1cc(Cl)c(Cl)s1	03499	2.198	-0.074
[R]C(=O)NCCOc1ccccc1	03500	0.989	0.369
[R]C=Cc1cccc(OC)c1	03501	2.257	-0.009
[R]OC(=O)c1ccc(OC)cc1	03502	1.399	-0.101
[R]C(NC(C)=O)C(C)C	03503	0.521	0.065
[R]C(O)CCC	03504	1.036	-0.019
[R]n1nc(C)c(N(=O)=O)c1C	03505	0.155	0.355
[R]OCCCN(CC)CC	03506	0.703	-0.261
[R]Nc1cc(Cl)c(OC)cc1OC	03507	1.504	-0.411
[R]C1(C)CC(C(F)(F)F)OC(N)=N1	03508	1.102	-0.036
[R]C(=O)OC1CN2CCC1CC2	03509	0.316	0.515
[R]c2ncc1ccccc1c2C	03510	2.534	0.105
[R]C2(c1ccccc1)CCCC2	03511	3.426	-0.093
[R]SCC(=O)NCc1ccccc1	03512	1.03	-0.016
[R]c1ccc(SC(F)F)cc1	03513	2.922	0.024
[R]SCc1ccccc1C	03514	2.574	-0.039
[R]CC#Cc1ccccc1	03515	2.676	-0.041
[R]C1CCCN(C(N)=N)C1	03516	-0.051	-0.025
[R]c2ccc(C1CCNC1)cc2	03517	1.672	-0.035
[R]Cc1nccn1C	03518	-0.091	-0.014
[R]C(=O)CN1CCCC1	03519	0.731	0.483
[R]Cc1ccc(Br)cc1F	03520	3.305	-0.052
[R]C(C)=CC	03521	1.446	-0.098
[R]OCC1CCNCC1	03522	0.025	-0.273
[R]SCC(N)C(O)=O	03523	-0.723	-0.012
[R]C(O)(CC)CC	03524	1.186	-0.047
[R]C1OC(C(=O)NC)C(O)C1O	03525	-1.698	0.176
[R]OC(=O)C=Cc1ccccc1	03526	2.184	-0.103
[R]C(C)C1CNC(=O)C1	03527	-0.05	-0.009
[R]NS(=O)(=O)c1ccc(Cl)cc1Cl	03528	2.057	-0.12
[R]c2ccc1CCNCCc1c2	03529	1.736	-0.031
[R]c1ccccc1N2CCCC2	03530	2.567	-0.115
[R]CCNC(=O)OC(C)(C)C	03531	0.948	0.005
[R]C(=O)NCCCCCCCC	03532	2.166	0.36
[R]NCCCCO	03533	-0.269	-0.625
[R]C(=O)C(CCC)CCC	03534	3.314	0.445
[R]C1=NC(=O)CS1	03535	0.246	0.771
[R]C(=O)N1CCC(C(N)=O)CC1	03536	-1.193	0.383
[R]C(=O)c2ccc1[nH]cnc1c2	03537	0.386	0.445
[R]C(N)C(=O)N1CCCC1	03538	-0.899	0.062
[R]C2CCN(C1CCOCC1)CC2	03539	0.505	-0.117
[R]NC(=O)CCCCC1CCSS1	03540	1.039	-0.277
[R]C(=O)C(CO)NC(C)=O	03541	-0.786	0.529
[R]NCc1ccccc1O	03542	1.163	-0.622
[R]NCCCCCC(=O)NO	03543	0.059	-0.62
[R]CCOc1ccc(OC)cc1	03544	1.816	0.005
[R]c2nc(c1cccc(C)c1)no2	03545	2.71	0.412
[R]C1CN(C)C1	03546	-0.003	-0.044
[R]c1nsnc1C2=CCCN(C)C2	03547	1.032	0.154
[R]c1cc(Br)cs1	03548	2.24	0.098
[R]C(CO)c1cccc(Cl)c1	03549	2.147	0.032
[R]n2cnc1C(O)CN=CNc12	03550	-0.627	0.162
[R]c2nc1ccccc1n2CC	03551	1.949	0.276
[R]C(=O)c1ncc(C#N)[nH]1	03552	-0.468	0.549
[R]S(=O)(=O)N1CCCC1COC	03553	-0.068	0.504
[R]NC(=O)C(C)c1ccccc1	03554	1.496	-0.297
[R]C(=O)NCc1cccc(F)c1	03555	1.289	0.391
[R]c1cnc(OC)c(F)c1	03556	1.251	0.083
[R]CNC(=O)c1cccc(Cl)c1Cl	03557	2.186	0.136
[R]C(=O)N1CCC(C(O)=O)CC1	03558	-0.329	0.401
[R]C(CC1CCCC1)CN(O)C=O	03559	2.033	-0.046
[R]CC(O)CNC(C)(C)C	03560	0.532	-0.131
[R]Cn1nc(C(O)=O)cc1C	03561	0.277	0.209
[R]Cn1c(C)nc2ccccc12	03562	1.47	0.102
[R]NN=Cc1c[nH]c2ccccc12	03563	1.278	-0.549
[R]c1nc(C)c(C)s1	03564	0.944	0.225
[R]n1nc(C(O)=O)cc1C	03565	0.129	0.328
[R]Cc2cc1OCOc1cc2Cl	03566	2.576	-0.057
[R]C1(C(O)=O)CCCC1	03567	1.44	0.027
[R]CNC(=O)CN	03568	-1.666	0.109
[R]C(=O)Nc1c(Cl)cncc1Cl	03569	0.779	0.478
[R]C(C)CCC(O)=O	03570	1.047	-0.077
[R]OCc1ccccc1C	03571	2.231	-0.234
[R]C(=S)NC(=O)c1ccco1	03572	0.255	0.679
[R]Nc1c(CC)cccc1CC	03573	3.218	-0.584
[R]Nc1ncccc1C	03574	1.345	-0.465
[R]c1cc(C(O)=O)cc(C(O)=O)c1	03575	1.374	0.165
[R]Nc2ccc1ncsc1c2	03576	1.72	-0.289
[R]N(C)C1CCS(=O)(=O)C1	03577	-0.691	-0.485
[R]OCCCCO	03578	0.047	-0.256
[R]C(=O)C1CCC(C(O)=O)CC1	03579	1.744	0.513
[R]SCCCCCC	03580	2.33	-0.046
[R]OC(C)C1CNC(=O)C1	03581	-0.678	-0.161
[R]C#Cc1cccnc1	03582	0.968	0.152
[R]c2sc1CCCCc1c2C(N)=O	03583	1.441	0.073
[R]CCn1c(C)cc2ccccc12	03584	1.877	0.019
[R]Nc1ccc(OC(C)C)cc1	03585	1.994	-0.424
[R]c1[nH]cnc2ncnc12	03586	-0.242	0.404
[R]Cc2nnc(c1ccccc1)o2	03587	2.06	0.068
[R]C(=O)NCC(C)c1ccccc1	03588	1.804	0.367
[R]NC(C)c1cccc(OC)c1	03589	1.607	-0.629
[R]N1C(=O)NC(C)(C)C1=O	03590	-0.488	0.038
[R]Nc1ccccc1C(=O)OCC	03591	1.564	-0.316
[R]c1ccc(NC)cc1	03592	1.551	-0.179
[R]C1CCCN(C(N)=N)C1O	03593	-0.256	-0.141
[R]Nc1cccc2ncccc12	03594	1.581	-0.304
[R]NC1CCCN(C(N)=N)C1O	03595	-0.856	-0.633
[R]c1ccccc1CO	03596	1.442	0.003
[R]CNC(=O)C(C)N	03597	-1.129	0.114
[R]C(=O)C(NC(C)=O)C(C)C	03598	0.871	0.543
[R]Cc2csc(c1ccccc1)n2	03599	2.619	-0.129
[R]c1sc(N)nc1C	03600	0.695	-0.107
[R]n2nnc(c1ccccn1)n2	03601	1.001	0.47
[R]c1c(C)nc(N)nc1N	03602	-0.173	-0.126
[R]C(C(C)C)C(=O)NCC(N)=O	03603	-0.728	-0.117
[R]c1cccc2CN(C)C(=O)c12	03604	1.034	-0.06
[R]c1sccc1C(N)=O	03605	0.282	0.016
[R]c1c(C)cccc1CC	03606	3.308	-0.044
[R]c1ccc(F)c(O)c1	03607	1.833	0.065
[R]CCCCCO	03608	1.198	-0.114
[R]c2ccc(N1CCOCC1)nn2	03609	1.233	0.23
[R]OC(C)c1c(Cl)ccc(F)c1Cl	03610	3.352	-0.232
[R]CCc2ccc1ccccc1n2	03611	2.795	-0.122
[R]C(=O)c1cncs1	03612	0.342	0.478
[R]Nn1cnnc1	03613	-0.473	-0.152
[R]SCC(=O)Nc1nnc(CC)s1	03614	0.8	0.051
[R]c1csc(C)c1	03615	1.22	-0.052
[R]CCC23CC1CC(CC(C1)C2)C3	03616	3.381	-0.139
[R]N(C)Cc1ccc(F)cc1	03617	1.948	-0.596
[R]Nc1ccsc1C(=O)OC	03618	0.693	-0.261
[R]Oc1cc(C)ccc1C	03619	2.603	-0.112
[R]Sc1ccccc1N	03620	1.229	0
[R]S(=O)(=O)Nc1cc(C)on1	03621	-0.097	0.553
[R]CC(=O)Nc1cc(C)cc(C)c1	03622	1.922	-0.077
[R]COCCO	03623	-0.407	-0.09
[R]c1ccc(C#N)c(F)c1	03624	2.153	0.217
[R]C(S)=NC	03625	0.65	0.222
[R]CCN(CC(O)=O)CC(O)=O	03626	-0.485	-0.063
[R]C(=O)C(CS)Cc1ccccc1	03627	2.927	0.499
[R]C2CCC(N1CCOCC1)CC2	03628	1.194	-0.095
[R]NS(=O)(=O)N1CCC1	03629	-0.471	-0.183
[R]Nc1cc(F)ccc1F	03630	1.77	-0.248
[R]NN=Cc1ccc(O)c(OC)c1	03631	1.432	-0.454
[R]CNC(=O)Cc1ccccc1	03632	1.082	0.1
[R]CC1(C)COC1	03633	0.855	-0.072
[R]C(O)c1ccc(F)cc1	03634	1.744	0.037
[R]NC(=O)Nc1ccncc1	03635	-0.566	-0.242
[R]NC(=O)c1ccc(F)c(F)c1	03636	1.281	-0.213
[R]OCCCCCCC	03637	2.383	-0.273
[R]Nc1ccnc2ccccc12	03638	1.581	-0.239
[R]Nc2ccc(C1CCNC1)cc2	03639	1.186	-0.384
[R]NC(C(C)C)C(=O)NCC(N)=O	03640	-1.32	-0.584
[R]N(C)Cc1ccco1	03641	0.043	-0.609
[R]NS(=O)(=O)c1cccc(F)c1	03642	1.16	-0.109
[R]c2ccc1N(C(C)=O)CCc1c2	03643	1.055	-0.057
[R]N=CN(C)C	03644	-0.003	-0.285
[R]S(=O)(=O)Nc1nncs1	03645	0.311	0.597
[R]NC(P(O)(O)=O)P(O)(O)=O	03646	-0.049	-0.142
[R]C(=O)C1CC1(C)C	03647	1.989	0.437
[R]C(=O)Nc1ccsc1C(=O)OC	03648	0.256	0.466
[R]C2CNC(C(=O)N1CCSC1)C2	03649	-0.18	-0.027
[R]Oc1ccc(F)cc1Cl	03650	2.326	0.029
[R]C(=O)Nc1ccon1	03651	-0.207	0.519
[R]Oc1ccncc1	03652	0.357	0.01
[R]NCC(C)CC	03653	1.281	-0.648
[R]c1ccc(OC)c2ccccc12	03654	2.727	-0.09
[R]CC(=O)c1cccs1	03655	0.918	-0.106
[R]C=c1c(=O)[nH]c(=O)[nH]c1=O	03656	-1.417	0.635
[R]C(=O)c1c(N)nn2cccnc12	03657	-0.19	0.296
[R]C(=O)Nc1sccc1C(N)=O	03658	-0.341	0.483
[R]NCc1ccc(N(C)C)cc1	03659	1.711	-0.685
[R]CCc2nc1ccccc1[nH]2	03660	1.689	-0.058
[R]OCC(=O)NCc1ccco1	03661	-1.078	-0.163
[R]c1ncc(F)s1	03662	1.2	0.337
[R]c1cccc(S(=O)(=O)NC)c1	03663	1.077	0.064
[R]SCCN	03664	-0.46	-0.023
[R]C(=O)N1CC(C)CC(C)C1	03665	1.147	0.35
[R]Nc1sccc1C(N)=O	03666	0.096	-0.194
[R]C(=O)C=Cc1ccc(C)cc1	03667	2.514	0.363
[R]C2COc1ncccc1O2	03668	0.844	0.197
[R]CN1CCN(C(C)=O)CC1	03669	-0.715	-0.044
[R]Cc2ccc(n1cccn1)cc2	03670	1.99	-0.066
[R]OCc1cccc(OC)c1	03671	1.511	-0.251
[R]CC(=O)Nc1ccccc1CC	03672	1.851	-0.072
[R]OCC2COc1ncccc1O2	03673	0.63	-0.16
[R]C(=O)CC(F)(F)F	03674	1.582	0.635
[R]c2cn(Cc1ccccc1)nn2	03675	1.81	0.07
[R]NN=Cc2ccc1OCOc1c2	03676	1.654	-0.449
[R]C1(C)CCCCC1	03677	2.605	-0.152
[R]CC2COc1ncccc1O2	03678	1.095	-0.016
[R]C(=O)Nc1nc(C)c(C(C)=O)s1	03679	-0.136	0.549
[R]C(=O)c1ccc(NC(N)=N)cc1	03680	0.264	0.334
[R]Oc1ncccn1	03681	0.216	-0.085
[R]C(=O)C(N)CCSC	03682	0.16	0.537
[R]N2C(=O)C1CC=CCC1C2=O	03683	0.2	0.046
[R]c1cc(O)nc2ccccc12	03684	2.481	0.198
[R]Oc2cccc1CN(C)C(=O)c12	03685	0.725	-0.016
[R]Nc2sc1CCCCc1c2C#N	03686	2.456	-0.142
[R]Cc1ccc(N)nc1C	03687	1.148	-0.136
[R]Nc2ccc1c(N)nccc1c2	03688	1.097	-0.318
[R]C=CN(C)C	03689	0.564	-0.389
[R]c1ccc(Br)cc1Cl	03690	3.287	0.103
[R]NCc1ccc(Br)cc1	03691	2.239	-0.577
[R]C(=O)N(C)CCO	03692	-0.823	0.333
[R]c2cccc(c1cncnc1)c2	03693	1.706	0.06
[R]Cc2ccc(n1cnnn1)nc2	03694	1.008	0.065
[R]NC(=O)C(C)NC(C)=O	03695	-1.45	-0.212
[R]NCCSc1ccccc1	03696	1.63	-0.568
[R]P(O)(=O)CCC(N)C(O)=O	03697	-1.454	0.413
[R]C(=O)NC(CC(O)=O)C(N)=O	03698	-2.032	0.328
[R]c1cccc(N(=O)=O)c1C	03699	2.398	0.174
[R]c1ccc(C=O)cc1	03700	1.653	0.098
[R]C(CC(O)=O)c1ccccc1Cl	03701	2.386	0.035
[R]SCc1ccc(OC)cc1	03702	1.854	-0.044
[R]C(C)(C)Oc1ccc(Cl)cc1	03703	2.826	0.157
[R]NC1CCN(C(C)C)CC1	03704	0.402	-0.641
[R]NC(=S)Nc1ccccc1	03705	1.48	-0.152
[R]CCc1ccc(O)c(O)c1	03706	2.201	-0.068
[R]C(O)c1ccc(O)cc1	03707	1.321	0.015
[R]OP(O)(=O)OP(O)(O)=O	03708	0.776	0.09
[R]c2ccc(c1noc(C)n1)cc2	03709	2.014	0.041
[R]Nc1ccccc1C#N	03710	1.527	-0.212
[R]C(=O)C(N)Cc1ccc(Cl)cc1	03711	2.377	0.554
[R]C1CC(C)CCC1C(C)C	03712	3.56	-0.137
[R]CCCCN(CC)CC	03713	1.909	-0.125
[R]C(=O)NCC1CCOCC1	03714	-0.371	0.38
[R]c1ccc(NC(=O)C=C)cc1	03715	1.703	-0.05
[R]CCC(=O)N1CCOCC1	03716	-0.394	-0.058
[R]C(=O)CC1CCCCC1	03717	2.579	0.459
[R]c2ccc(C1CCCNC1)cc2	03718	2.068	-0.028
[R]n2cnc(C1CC1)c2	03719	0.266	0.124
[R]CCc1c[nH]c2ccc(Cl)cc12	03720	2.596	-0.095
[R]C(C)=S	03721	1.273	0.735
[R]c1ncc(Br)s1	03722	1.792	0.356
[R]C(C)C(N)C(=O)N1CCC(F)C1	03723	-0.465	-0.104
[R]NC(=O)c1ncc(C#N)[nH]1	03724	-0.981	-0.137
[R]C(=O)CCN1CCCC1	03725	0.912	0.473
[R]C(=O)NN=Cc1ccncc1	03726	0.36	0.504
[R]CSc1nc[nH]n1	03727	0.358	0.065
[R]OCc1cc(Cl)cc(Cl)c1	03728	2.8	-0.175
[R]c1nnc(N)o1	03729	0.058	0.312
[R]Nc1cccnc1Cl	03730	1.068	-0.237
[R]C(=O)c1ccc(OC(C)C)cc1	03731	2.017	0.432
[R]C1CCCC(N)C1	03732	0.766	-0.104
[R]Cc1ccc(OC(C)C)cc1	03733	2.877	-0.134
[R]Cn1ccnn1	03734	-0.273	0.197
[R]C(=O)NS(=O)(=O)N1CCC1	03735	-0.768	0.551
[R]CC(=O)N(CCCC)CCCC	03736	1.967	-0.144
[R]C(=O)CCC1CCCC1	03737	2.579	0.456
[R]CCS(=O)(=O)c1ccccc1	03738	1.466	0.027
[R]OCCOc1ccccc1	03739	1.603	-0.223
[R]C(C)(C)C(N)=O	03740	0.287	-0.137
[R]NC(=O)c1cccnc1Cl	03741	0.578	-0.248
[R]N(CC=C)CC=C	03742	1.513	-0.636
[R]c1nccc2OCCc12	03743	0.794	0.171
[R]c1cccc(C=CC(=O)NO)c1	03744	1.829	0.038
[R]S(=O)(=O)c1ccccc1F	03745	1.206	0.624
[R]N1CCCCc2ccccc12	03746	2.512	-0.547
[R]c2ccc(c1nnn[nH]1)cc2	03747	1.608	0.181
[R]N1CC2(C)CC1CC(C)(C)C2	03748	2.407	-0.691
[R]c2ccc1oc(=O)ccc1c2	03749	1.416	0.1
[R]C(C)c1cccc2ccccc12	03750	3.706	-0.095
[R]c1cc(C(C)C)ccc1C	03751	3.639	-0.052
[R]C(=O)c1ccc(O)c(Cl)c1	03752	1.748	0.527
[R]C(=O)CCC1CCCCC1	03753	2.975	0.454
[R]Nc1ccc(Br)c(C)c1	03754	2.75	-0.313
[R]Nc1nc(CC(=O)OCC)cs1	03755	0.827	-0.201
[R]C(=O)NC(CS)C(O)=O	03756	-0.747	0.391
[R]Oc1ccc(C(C)C)cc1	03757	2.863	-0.104
[R]Cc2cc1ccccc1s2	03758	2.782	-0.049
[R]C(=O)c1cccc(N(C)C)c1	03759	1.779	0.412
[R]NN=Cc1ccc(O)cc1	03760	1.685	-0.463
[R]C#Cc1ccc(OCC)cc1	03761	2.37	0.075
[R]CCN(C)Cc1ccccc1	03762	2.208	-0.101
[R]CC(=O)NCc1ccccc1Cl	03763	1.6	-0.125
[R]NN=Cc1ccccn1	03764	1.057	-0.474
[R]Nc1ncnc2ccccc12	03765	1.635	-0.288
[R]CNC(=O)c1ccc(OC)cc1	03766	0.897	0.097
[R]CNC1CCCCC1	03767	1.404	-0.098
[R]COc1cccc(F)c1	03768	1.956	0.072
[R]c1cc(OCC)ccc1OCC	03769	2.157	-0.109
[R]c2nnc(c1cccs1)o2	03770	1.598	0.434
[R]Cc1ccccc1OC(F)(F)F	03771	3.866	-0.107
[R]N(CC(C)C)CC(C)C	03772	2.46	-0.674
[R]c2cc1ccc(C)cc1nc2O	03773	2.948	0.019
[R]c2ccc(c1cnco1)cc2	03774	1.309	0.06
[R]c1ccn(CC)n1	03775	0.828	0.011
[R]Nc1ccc(C)nc1	03776	0.35	-0.326
[R]C(O)=CC(=O)C(O)=O	03777	-0.027	0.693
[R]CC(N)Cc1ccccc1F	03778	1.9	-0.035
[R]c1ncc(Cl)c(NC)n1	03779	1.01	0.244
[R]OCC(=O)NO	03780	-0.85	-0.114
[R]CC(=O)Nc1nnc(C)s1	03781	0.283	-0.033
[R]C=CC(=O)c1ccccc1	03782	2.047	0.318
[R]C(=O)NC1CCCCCCC1	03783	1.751	0.353
[R]NC(=O)NC1CCCC1	03784	0.253	-0.365
[R]C(=O)c1ccc(I)cc1	03785	2.772	0.519
[R]C(=O)COc1c(C)cccc1C	03786	2.977	0.535
[R]N2CC1CNCC1C2	03787	-0.716	-0.648
[R]CCc2ccc1ccccc1c2	03788	3.772	-0.096
[R]c1cccc2nccnc12	03789	1.154	-0.003
[R]c2ccc1nc(N)nc(N)c1c2	03790	1.058	-0.049
[R]C(N)CCc1ccccc1	03791	1.905	-0.072
[R]C1CCCCC1N2CCCC2	03792	1.934	-0.253
[R]CC12CCN(CC1)CC2	03793	1.017	-0.109
[R]Oc1cncc(C(N)=O)c1	03794	-0.81	0.015
[R]c1ccc(OC)cc1N(=O)=O	03795	1.678	0.09
[R]NCc1ccc(N)nc1C	03796	0.221	-0.639
[R]S(=O)(=O)NC1CCCCC1	03797	0.924	0.575
[R]C(=O)NN=Cc1cccs1	03798	1.143	0.469
[R]NNC(=O)c1ccccc1O	03799	0.811	-0.454
[R]C(CF)CF	03800	0.516	0.076
[R]c1ccc(CN(CC)CC)cc1	03801	2.549	-0.036
[R]NC(=O)CCCc1ccccc1	03802	1.727	-0.292
[R]C(C)Nc1ncnc(N)c1C#N	03803	0.751	0.122
[R]Nc1ncc(Cl)c(NC)n1	03804	0.829	-0.353
[R]C(=O)Oc1ccc(C(N)=N)cc1	03805	0.71	0.57
[R]c1cnn(CC(C)(C)O)c1	03806	0.135	-0.188
[R]Cc1ccccc1C(O)=O	03807	2.072	-0.229
[R]C(=O)NCCCCCC(=O)NO	03808	-0.238	0.364
[R]NC(=O)C1CC1(C)C	03809	0.539	-0.302
[R]Nc1ncnc2[nH]cnc12	03810	-0.137	-0.326
[R]CCc1c[nH]c2ccc(F)cc12	03811	2.218	-0.096
[R]Cc1ncccn1	03812	0.271	-0.057
[R]C(CC)C(N)=O	03813	0.018	-0.106
[R]OCc1cccc(C)c1	03814	2.231	-0.258
[R]C1CC1N	03815	-0.35	-0.145
[R]NN=Cc1cccc(OC)c1O	03816	1.432	-0.501
[R]c1cccc(Br)n1	03817	2.254	0.241
[R]C(C)c1ccc(C(O)=O)cc1	03818	2.403	-0.031
[R]NC(=O)C(N)C(C)CC	03819	-0.009	-0.267
[R]C(=O)NCCCC(O)=O	03820	-0.652	0.385
[R]CCNC(=O)c1ccco1	03821	-0.115	-0.006
[R]c1nc(N)nc(N)c1C#N	03822	0.092	0.307
[R]N1CC2CC1CN2C	03823	-0.151	-0.636
[R]N2CCN1CCCC1C2	03824	0.229	-0.674
[R]c1ncc(Cl)s1	03825	1.492	0.339
[R]NCCc1ccccc1Cl	03826	2.217	-0.633
[R]S(=O)(=O)NCc1ccco1	03827	-0.649	0.617
[R]N1CCCS1(=O)=O	03828	-0.425	-0.3
[R]c2cccc(c1cccnc1)c2	03829	2.35	0.021
[R]c2nc(c1cccs1)no2	03830	1.714	0.429
[R]SCC(=O)Nc1ccc(C)cc1	03831	1.403	0.018
[R]C1C(O)COc2ccccc12	03832	1.27	-0.142
[R]c1ccc(C(F)(F)F)c(Cl)c1	03833	3.378	0.208
[R]CC1CCCN(C(N)=N)C1	03834	0.345	-0.122
[R]C(=O)CSCc1ccccc1	03835	2.48	0.535
[R]NS(=O)(=O)c1ccc(CC)cc1	03836	1.884	-0.171
[R]C(=O)CS	03837	0.57	0.556
[R]c2nc1cc(C)ccc1o2	03838	2.005	0.317
[R]c2nnc(c1ccc(Cl)cc1)o2	03839	2.645	0.459
[R]c2cccc(N1CCNCC1)n2	03840	1.468	0.124
[R]C(=O)NCC(C)O	03841	-0.657	0.36
[R]S(=O)(=O)c1cccs1	03842	0.837	0.606
[R]NS(=O)(=O)c1ccc(F)c(F)c1	03843	1.3	-0.066
[R]C(=O)NCc1ccc(N)nc1C	03844	-0.076	0.356
[R]Nc1nc(N)nc(N)c1C#N	03845	-0.095	-0.273
[R]Oc1ccc(C)cc1C	03846	2.603	-0.115
[R]c1nnc(C(C)C)s1	03847	2.039	0.344
[R]NC(C)(C)c1ccccc1	03848	1.938	-0.637
[R]NC1C(O)COc2ccccc12	03849	0.715	-0.573
[R]Nc1ccc(CCCC)cc1	03850	3.147	-0.4
[R]c1cocn1	03851	-0.205	0.109
[R]C1=C(O)CC(C)(C)CC1=O	03852	0.943	0.068
