SMILES	Hansch pi	Hammett sigma p
[R]c1ccccc1O	00184	1.693	-0.041
[R]NC(=O)OCc1ccccc1	00185	1.491	-0.242
[R]Cc1cnc[nH]1	00186	-0.62	-0.023
[R]OC(F)F	00187	0.841	-0.071
[R]Cc2ccc1ccccc1c2	00188	3.376	-0.104
[R]OCC(O)=O	00189	-0.471	-0.103
[R]Cc1ccc(C)cc1	00190	2.841	-0.12
[R]Nc1ccc(F)cc1	00191	1.631	-0.327
[R]Nc1ccc(Cl)cc1	00192	2.009	-0.313
[R]Cc2ccc1OCOc1c2	00193	2.058	-0.074
[R]Cc1ccccc1Cl	00194	2.892	-0.114
[R]C(=O)NC(C)(C)C	00195	0.207	0.356
[R]c1c(Cl)cccc1Cl	00196	3.013	0.087
[R]c1ncccn1	00197	0.219	0.208
[R]c1ccsc1	00198	1.05	-0.038
[R]P(O)(O)=O	00199	-0.212	0.526
[R]c1cc(C)cc(C)c1	00200	2.912	-0.047
[R]OCCC	00201	0.798	-0.272
[R]C(=O)c1ccc(F)cc1	00202	1.654	0.505
[R]CN1CCOCC1	00203	-0.163	-0.063
[R]c1ccc(CC)cc1	00204	2.841	-0.047
[R]C1CCN(C)CC1	00205	0.673	-0.126
[R]c1ccc(C)c(C)c1	00206	2.912	-0.055
[R]C(=O)c1ccc(Cl)cc1	00207	2.032	0.511
[R]NC(C)c1ccccc1	00208	1.86	-0.626
[R]NCCc1ccccc1	00209	1.699	-0.629
[R]C(=O)c1ccc(OC)cc1	00210	1.262	0.435
[R]CC(C)(C)C	00211	2.317	-0.142
[R]COc1ccccc1	00212	1.817	0.032
[R]c1ccc(F)c(Cl)c1	00213	2.635	0.1
[R]Cc1ccccc1F	00214	2.513	-0.106
[R]NC1CCCC1	00215	0.859	-0.645
[R]c1cc(OC)cc(OC)c1	00216	1.472	0.034
[R]Cc1ccncc1	00217	1.062	-0.036
[R]NCc1ccco1	00218	-0.318	-0.571
[R]N2CCN(c1ccccc1)CC2	00219	1.987	-0.626
[R]C(=O)C(C)(C)C	00220	2.394	0.439
[R]CCC(C)C	00221	2.28	-0.136
[R]c1cccc(Cl)c1Cl	00222	3.013	0.079
[R]c1cc(F)cc(F)c1	00223	2.256	0.168
[R]C(C)NC(C)=O	00224	-0.35	0.081
[R]C(=O)Cc1ccccc1	00225	2.384	0.475
[R]Nc1ccc(C)cc1	00226	1.959	-0.4
[R]NC(=O)OC	00227	-0.286	-0.234
[R]CCN1CCCC1	00228	0.757	-0.087
[R]C(N)Cc1ccc(O)cc1	00229	1.225	-0.046
[R]c1ccccc1C(O)=O	00230	1.676	-0.066
[R]C(=O)C(N)Cc1ccc(O)cc1	00231	1.574	0.504
[R]c1nn[nH]n1	00232	0.039	0.272
[R]Cc1cccc(F)c1	00233	2.513	-0.063
[R]c1ccc(N)cc1	00234	1.194	-0.171
[R]c1ccc(C(C)C)cc1	00235	3.171	-0.049
[R]Cc1cccc(Cl)c1	00236	2.892	-0.066
[R]c1ccc(OC)cc1OC	00237	1.472	-0.209
[R]c1cccc(C(O)=O)c1	00238	1.676	0.041
[R]Cc1ccccc1OC	00239	2.121	-0.191
[R]c1c(C)cccc1C	00240	2.912	-0.049
[R]c1cnccn1	00241	-0.247	0.241
[R]Cc1cccc(OC)c1	00242	2.121	-0.114
[R]c1c(C)noc1C	00243	0.189	0.037
[R]CCCN1CCOCC1	00244	0.485	-0.095
[R]S(=O)(=O)N1CCOCC1	00245	-0.642	0.576
[R]CC(=O)OCC	00246	0.298	-0.038
[R]Cc1ccc(Cl)c(Cl)c1	00247	3.41	-0.023
[R]OCCCC	00248	1.194	-0.273
[R]c1cncnc1	00249	0.021	0.147
[R]NC(=O)c1ccco1	00250	-0.515	-0.247
[R]C(=O)N(CC)CC	00251	0.305	0.347
[R]C=Cc1ccccc1	00252	2.51	-0.019
[R]S(=O)(=O)c1ccccc1	00253	1.066	0.587
[R]c1ccc(NC(C)=O)cc1	00254	0.826	-0.044
[R]CCCO	00255	0.406	-0.095
[R]NC(=O)C1CC1	00256	-0.225	-0.294
[R]c1cc(Cl)cc(Cl)c1	00257	3.013	0.143
[R]OCCOC	00258	-0.178	-0.273
[R]Nc1cccc(C)c1	00259	1.959	-0.4
[R]CCCN(C)C	00260	0.828	-0.115
[R]C(=O)N1CCCCC1	00261	0.342	0.353
[R]C(=O)NC1CC1	00262	-0.231	0.391
[R]c1cn[nH]c1	00263	-0.16	-0.145
[R]Oc1ccc(Cl)cc1	00264	2.187	-0.022
[R]CC(=O)OC	00265	-0.044	-0.031
[R]C(=O)c1ccc(C)cc1	00266	1.982	0.445
[R]c1ccc(C)cc1C	00267	2.912	-0.058
[R]N2CCc1ccccc1C2	00268	1.79	-0.634
[R]c1ccccc1N(=O)=O	00269	1.931	0.159
[R]C1OC(CO)C(O)C(O)C1O	00270	-1.561	0.146
[R]CCN1CCCCC1	00271	1.154	-0.11
[R]C(=O)C=C	00272	1.416	0.38
[R]OP(O)(O)=O	00273	0.366	0.057
[R]C(Cc1ccccc1)C(N)=O	00274	1.235	-0.095
[R]CCCOC	00275	0.684	-0.096
[R]CC#C	00276	0.871	-0.054
[R]C(=O)C(C)C	00277	1.729	0.451
[R]Sc1ccccc1	00278	2.012	-0.069
[R]CS	00279	0.344	0.038
[R]OCC1CC1	00280	0.697	-0.261
[R]Nc1cccc(Cl)c1	00281	2.009	-0.313
[R]c1ccccc1Br	00282	2.769	0.029
[R]C(=O)Nc1ccc(Cl)cc1	00283	1.573	0.491
[R]NCCCC	00284	0.878	-0.642
[R]N1CCC(C)CC1	00285	1.084	-0.68
[R]c1cc(C)on1	00286	0.417	0.144
[R]c1cc(OC)ccc1OC	00287	1.472	-0.095
[R]CN1CCCC1	00288	0.506	-0.103
[R]C(=O)Nc1ccc(OC)cc1	00289	0.802	0.435
[R]NC(Cc1ccccc1)C(N)=O	00290	0.571	-0.639
[R]C(=O)NC(C)c1ccccc1	00291	1.563	0.369
[R]c1cc(C)ccc1C	00292	2.912	-0.049
[R]C1CCOC1	00293	0.205	-0.027
[R]Oc1ccc(F)cc1	00294	1.808	-0.031
[R]c1ccc(C)o1	00295	0.462	0.072
[R]C(=O)NCc1ccco1	00296	-0.616	0.391
[R]c1cccc(C)n1	00297	1.235	0.128
[R]c1ccc(C(N)=N)cc1	00298	0.983	0.045
[R]C(O)CO	00299	-0.615	0.062
[R]Nc1cccc(OC)c1	00300	1.239	-0.375
[R]c1ccc(Cl)cn1	00301	1.583	0.228
[R]N1CCCCCC1	00302	1.15	-0.674
[R]c1ccoc1	00303	0.232	-0.093
[R]C(=O)NC(C)C	00304	0.129	0.36
[R]c1ccc(O)c(O)c1	00305	1.409	0.034
[R]Cc1cccc2ccccc12	00306	3.376	-0.103
[R]NCC1CCCO1	00307	-0.098	-0.658
[R]c1ccccc1N	00308	1.194	-0.104
[R]CF	00309	0.361	0.067
[R]n2c(=O)c1ccccc1c2=O	00310	0.471	0.078
[R]N(CCC)CCC	00311	1.654	-0.669
[R]CN1CCN(C)CC1	00312	-0.019	-0.095
[R]Nc1cccc(C(F)(F)F)c1	00313	2.374	-0.267
[R]CN1CCCCC1	00314	0.902	-0.104
[R]NC(=O)Cc1ccccc1	00315	0.934	-0.297
[R]C(=O)CCC	00316	1.563	0.456
[R]N(C)Cc1ccccc1	00317	1.808	-0.644
[R]c1ccccc1OCC	00318	2.067	-0.155
[R]NCCO	00319	-0.773	-0.65
[R]n1nccn1	00320	-0.184	0.269
[R]NS(=O)(=O)c1ccccc1	00321	1.021	-0.158
[R]C1OC(CO)C(O)C1O	00322	-1.189	0.116
[R]c1c(C)cc(C)cc1C	00323	3.379	-0.065
[R]C(=O)NCCc1ccccc1	00324	1.401	0.369
[R]C(C)C(O)=O	00325	0.486	-0.02
[R]c1ccc(C(=O)OC)cc1	00326	1.708	0.114
[R]Nc1ccccn1	00327	0.878	-0.291
[R]NCCOC	00328	-0.494	-0.652
[R]C(=O)OC(C)C	00329	0.779	0.489
[R]NCCC	00330	0.481	-0.641
[R]C(N)C(O)=O	00331	-0.853	0.119
[R]Nc1ccccc1OC	00332	1.239	-0.435
[R]c1cccc(C(N)=N)c1	00333	0.983	-0.027
[R]C(C)CO	00334	0.412	-0.057
[R]c1ccc(N)nc1	00335	0.581	-0.093
[R]c1nnn[nH]1	00336	-0.076	0.553
[R]CCCN	00337	0.058	-0.107
[R]C(=O)C(F)(F)F	00338	1.65	0.752
[R]CC(=O)NO	00339	-0.455	-0.06
[R]c1cc(F)ccc1F	00340	2.256	0.108
[R]C1CCCNC1	00341	0.384	-0.085
[R]NC(=O)C=C	00342	-0.034	-0.3
[R]C(=O)N1CCN(C)CC1	00343	-0.579	0.366
[R]CC1CCOCC1	00344	0.925	-0.096
[R]c1cccc(C)c1C	00345	2.912	-0.047
[R]CCc1ccc(OC)c(OC)c1	00346	2.265	-0.103
[R]C(C)(C)C(O)=O	00347	1.151	-0.05
[R]NCc1ccc(F)cc1	00348	1.586	-0.587
[R]C(=O)Nc1ccc(F)cc1	00349	1.194	0.485
[R]c2ccc(N1CCOCC1)cc2	00350	1.899	-0.065
[R]NC(=O)c1cccs1	00351	0.473	-0.275
[R]c1ccc(C(F)(F)F)cn1	00352	1.947	0.322
[R]C(Cc1ccccc1)C(O)=O	00353	2.1	0
[R]C(CC(C)C)C(N)=O	00354	0.745	-0.112
[R]C(C)N	00355	-0.177	-0.079
[R]NC(=O)CC	00356	-0.283	-0.297
[R]C(=O)NC1CCCC1	00357	0.562	0.36
[R]NC(CC(C)C)C(N)=O	00358	0.08	-0.622
[R]C(=O)NC(CC(C)C)C(N)=O	00359	-0.217	0.347
[R]c1ccc(C(C)NC(C)=O)cc1	00360	1.334	0.029
[R]c1ccc(Cl)s1	00361	2.337	0.097
[R]C(=O)c1cccnc1	00362	0.203	0.521
[R]CCN(CC)CC	00363	1.117	-0.098
[R]Nc1ccccc1C	00364	1.959	-0.402
[R]C(=O)c1ccccc1Cl	00365	2.032	0.475
[R]CNC	00366	-0.181	-0.093
[R]n1cnnn1	00367	-0.397	0.467
[R]CCF	00368	0.613	0.005
[R]C(=O)Nc1ccc(C)cc1	00369	1.522	0.44
[R]Nc1nccs1	00370	0.422	-0.36
[R]Nc1ccc(F)c(Cl)c1	00371	2.149	-0.259
[R]Cc1ccc(Cl)cc1Cl	00372	3.41	-0.065
[R]c1cccc(Cl)c1F	00373	2.635	0.072
[R]c1ccccc1c2ccccc2	00374	3.662	-0.046
[R]NCC(O)=O	00375	-0.788	-0.489
[R]c1ccc(C(C)=O)cc1	00376	1.286	0.105
[R]CCCC(O)=O	00377	0.717	-0.076
[R]Cc1ccc(C(F)(F)F)cc1	00378	3.257	-0.016
[R]c1ccc(O)c(OC)c1	00379	1.44	0.03
[R]c1ccc(F)cn1	00380	1.204	0.211
[R]NCc1cccnc1	00381	0.135	-0.574
[R]S(O)(=O)=O	00382	-0.376	0.654
[R]Nc1cccnc1	00383	0.179	-0.307
[R]CCCN1CCCCC1	00384	1.55	-0.115
[R]Oc1ccc(OC)cc1	00385	1.416	-0.109
[R]c1ccc(OC)nc1	00386	1.111	-0.004
[R]Cc1ccccc1C	00387	2.841	-0.117
[R]NC23CC1CC(CC(C1)C2)C3	00388	1.389	-0.669
[R]N1CCN(CC)CC1	00389	0.176	-0.675
[R]Cc1c(F)cccc1F	00390	2.653	-0.057
[R]c1cccc2cccnc12	00391	2.067	-0.079
[R]Cc1ccc(N(=O)=O)cc1	00392	2.327	0.067
[R]C(=O)Nc1cccc(C)c1	00393	1.522	0.44
[R]Nc1ccc(C(F)(F)F)cc1	00394	2.374	-0.239
[R]N1CCCC1=O	00395	-0.522	-0.292
[R]C(=O)C1CCCCC1	00396	2.414	0.448
[R]Nc1ccc(S(N)(=O)=O)cc1	00397	0.344	-0.204
[R]C1CCCCCC1	00398	2.568	-0.133
[R]c2nc1ccccc1o2	00399	1.538	0.385
[R]C(CC)CC	00400	2.28	-0.137
[R]NCCN1CCOCC1	00401	-0.693	-0.607
[R]c1ccnc(C)c1	00402	0.836	0.103
[R]c1ccc(O)cc1O	00403	1.409	-0.02
[R]C(=O)c1ccncc1	00404	0.203	0.545
[R]NS(=O)(=O)c1ccc(C)cc1	00405	1.488	-0.171
[R]c1ccccc1C#N	00406	2.013	0.111
[R]N2Cc1ccccc1C2	00407	1.538	-0.59
[R]C(=O)Nc1nccs1	00408	-0.014	0.483
[R]C(CCC(O)=O)C(O)=O	00409	0.046	0.032
[R]NCCC(O)=O	00410	-0.607	-0.576
[R]N1CCC1	00411	-0.094	-0.66
[R]c1cccc(OC(F)(F)F)c1	00412	3.47	0.089
[R]c1c(F)cccc1Cl	00413	2.635	0.097
[R]NCC(N)=O	00414	-1.653	-0.55
[R]N1CCN(C(C)=O)CC1	00415	-0.864	-0.565
[R]n1cccn1	00416	0.03	0.103
[R]CCCCCCCC	00417	3.534	-0.129
[R]C(C)NC	00418	0.232	-0.122
[R]c1nc(C)cc(C)n1	00419	0.56	0.17
[R]C(N)Cc1ccccc1	00420	1.509	-0.05
[R]c1ccccc1c2nn[nH]n2	00421	1.724	-0.012
[R]Cc1ccc(F)c(F)c1	00422	2.653	-0.019
[R]Nc1ccc(OC(F)(F)F)cc1	00423	2.984	-0.311
[R]C(=O)c1ccccn1	00424	0.602	0.38
[R]C(=O)NCC1CCCO1	00425	-0.395	0.329
[R]CCCCCCC	00426	3.138	-0.129
[R]c1ccc(F)cc1Cl	00427	2.635	0.065
[R]OCCO	00428	-0.456	-0.272
[R]C(Cc1ccccc1)NC(C)=O	00429	1.336	-0.112
[R]NC(N)=O	00430	-1.183	-0.334
[R]Cc1cccc(C)c1	00431	2.841	-0.117
[R]c1ccc(SC)cc1	00432	2.068	-0.014
[R]Cc1ccc(Br)cc1	00433	3.166	-0.054
[R]OCC(F)(F)F	00434	0.962	-0.044
[R]N(C)S(C)(=O)=O	00435	-0.299	-0.229
[R]N1CCC(O)C1	00436	-0.466	-0.622
[R]c1cnn2cccnc12	00437	0.357	-0.242
[R]C(=O)c1cnn2cccnc12	00438	-0.106	0.325
[R]NC(=O)c1cnn2cccnc12	00439	-0.619	-0.381
[R]C(=O)c1cccc(C(F)(F)F)c1	00440	2.397	0.554
[R]c2cc1ccccc1o2	00441	1.692	0.19
[R]c1ncnc2[nH]ccc12	00442	0.487	0.228
[R]C1CCNC1	00443	-0.012	-0.088
[R]NCc1ccc(OC)cc1	00444	1.194	-0.636
[R]C1CNCCO1	00445	-0.453	-0.001
